seed,regime,round,placement,mean_gap,open_capacity
1012,R2,6,0.4,0.4795472288236314,12
1012,R3,1,0.1916666666666666,0.4829666125331198,37
1012,R3,2,0.3333333333333333,0.4837994452773345,20
1012,R3,3,0.3666666666666666,0.4800988706192698,16
1012,R3,4,0.4083333333333333,0.4786386658615684,11
1012,R3,5,0.4416666666666666,0.4751237821680329,7
1012,R3,6,0.4416666666666666,0.4804016255396576,7
1013,R0,1,0.2,0.5206944851609469,36
1013,R0,2,0.325,0.5199946739131364,21
1013,R0,3,0.4,0.5194739893044847,12
1013,R0,4,0.4416666666666666,0.5190789045090729,7
1013,R0,5,0.4583333333333333,0.5186465446303339,5
1013,R0,6,0.4666666666666667,0.5181331554835984,4
1013,R1,1,0.1416666666666666,0.5207005157765265,43
1013,R1,2,0.275,0.5200772782958815,27
1013,R1,3,0.3416666666666667,0.5195133939778334,19
1013,R1,4,0.375,0.5189032060325333,15
1013,R1,5,0.425,0.5183097832050602,9
1013,R1,6,0.4416666666666666,0.5178172784849446,7
1013,R2,1,0.1916666666666666,0.5250446965644664,37
1013,R2,2,0.3333333333333333,0.5241684782784347,20
1013,R2,3,0.375,0.5262839899360754,15
1013,R2,4,0.4166666666666667,0.5263356778082687,10
1013,R2,5,0.4333333333333333,0.5261041255106861,8
1013,R2,6,0.45,0.5210174911978384,6
1013,R3,1,0.1916666666666666,0.5214474498991677,37
1013,R3,2,0.3333333333333333,0.5188675678098631,20
