seed,scenario,q1_R0,q1_R1,q1_delta,q4_R0,q4_R1,q4_delta,gap_R0,gap_R1,gap_delta
1005,E0_L0_C0,0.4,0.4666666666666667,0.06666666666666665,0.5333333333333333,0.4666666666666667,-0.06666666666666665,0.1333333333333333,0.0,-0.1333333333333333
1005,E0_L0_C1,0.2333333333333333,0.2666666666666666,0.0333333333333333,0.6333333333333333,0.5,-0.1333333333333333,0.3999999999999999,0.2333333333333333,-0.1666666666666666
1005,E0_L1_C0,0.4,0.4666666666666667,0.06666666666666665,0.5333333333333333,0.4666666666666667,-0.06666666666666665,0.1333333333333333,0.0,-0.1333333333333333
1005,E0_L1_C1,0.2333333333333333,0.3,0.06666666666666668,0.6333333333333333,0.5333333333333333,-0.09999999999999998,0.3999999999999999,0.2333333333333333,-0.1666666666666666
1005,E1_L0_C0,0.3333333333333333,0.3666666666666666,0.03333333333333327,0.6333333333333333,0.5666666666666667,-0.06666666666666665,0.3,0.2,-0.09999999999999998
1005,E1_L0_C1,0.3333333333333333,0.3,-0.033333333333333326,0.6333333333333333,0.6,-0.033333333333333326,0.3,0.3,0.0
1005,E1_L1_C0,0.3333333333333333,0.3666666666666666,0.03333333333333327,0.6333333333333333,0.5666666666666667,-0.06666666666666665,0.3,0.2,-0.09999999999999998
1005,E1_L1_C1,0.3333333333333333,0.3,-0.033333333333333326,0.6333333333333333,0.6,-0.033333333333333326,0.3,0.3,0.0
1006,E0_L0_C0,0.5,0.3333333333333333,-0.16666666666666669,0.5666666666666667,0.5,-0.06666666666666665,0.0666666666666666,0.1666666666666666,0.1
1006,E0_L0_C1,0.4333333333333333,0.3,-0.1333333333333333,0.6333333333333333,0.5,-0.1333333333333333,0.1999999999999999,0.2,1.1102230246251565e-16
1006,E0_L1_C0,0.5,0.3333333333333333,-0.16666666666666669,0.5666666666666667,0.5,-0.06666666666666665,0.0666666666666666,0.1666666666666666,0.1
1006,E0_L1_C1,0.4333333333333333,0.3,-0.1333333333333333,0.6333333333333333,0.5,-0.1333333333333333,0.1999999999999999,0.2,1.1102230246251565e-16
1006,E1_L0_C0,0.5,0.3666666666666666,-0.13333333333333341,0.5333333333333333,0.6,0.06666666666666665,0.0333333333333333,0.2333333333333333,0.2
1006,E1_L0_C1,0.3666666666666666,0.3666666666666666,0.0,0.7,0.6,-0.09999999999999998,0.3333333333333333,0.2333333333333333,-0.1
1006,E1_L1_C0,0.5,0.3666666666666666,-0.13333333333333341,0.5333333333333333,0.6,0.06666666666666665,0.0333333333333333,0.2333333333333333,0.2
1006,E1_L1_C1,0.3666666666666666,0.3666666666666666,0.0,0.7,0.6,-0.09999999999999998,0.3333333333333333,0.2333333333333333,-0.1
1007,E0_L0_C0,0.6,0.5333333333333333,-0.06666666666666665,0.4,0.3333333333333333,-0.06666666666666671,-0.1999999999999999,-0.2,-1.1102230246251565e-16
1007,E0_L0_C1,0.4666666666666667,0.4333333333333333,-0.03333333333333338,0.5333333333333333,0.4,-0.1333333333333333,0.0666666666666666,-0.0333333333333333,-0.0999999999999999
1007,E0_L1_C0,0.6,0.5333333333333333,-0.06666666666666665,0.4,0.3333333333333333,-0.06666666666666671,-0.1999999999999999,-0.2,-1.1102230246251565e-16
1007,E0_L1_C1,0.4666666666666667,0.4333333333333333,-0.03333333333333338,0.5333333333333333,0.4,-0.1333333333333333,0.0666666666666666,-0.0333333333333333,-0.0999999999999999
1007,E1_L0_C0,0.5666666666666667,0.4666666666666667,-0.09999999999999998,0.4333333333333333,0.4333333333333333,0.0,-0.1333333333333333,-0.0333333333333333,0.1
1007,E1_L0_C1,0.4666666666666667,0.3,-0.16666666666666669,0.4666666666666667,0.5333333333333333,0.06666666666666665,0.0,0.2333333333333333,0.2333333333333333
1007,E1_L1_C0,0.5666666666666667,0.4666666666666667,-0.09999999999999998,0.4333333333333333,0.4333333333333333,0.0,-0.1333333333333333,-0.0333333333333333,0.1
1007,E1_L1_C1,0.4666666666666667,0.3,-0.16666666666666669,0.4666666666666667,0.5333333333333333,0.06666666666666665,0.0,0.2333333333333333,0.2333333333333333
1008,E0_L0_C0,0.5,0.4,-0.09999999999999998,0.3666666666666666,0.3333333333333333,-0.03333333333333327,-0.1333333333333333,-0.0666666666666667,0.06666666666666661
1008,E0_L0_C1,0.3666666666666666,0.3666666666666666,0.0,0.4,0.3333333333333333,-0.06666666666666671,0.0333333333333333,-0.0333333333333333,-0.0666666666666666
1008,E0_L1_C0,0.4333333333333333,0.4,-0.03333333333333327,0.3333333333333333,0.3333333333333333,0.0,-0.1,-0.0666666666666667,0.03333333333333331
1008,E0_L1_C1,0.3666666666666666,0.3666666666666666,0.0,0.4,0.3333333333333333,-0.06666666666666671,0.0333333333333333,-0.0333333333333333,-0.0666666666666666
1008,E1_L0_C0,0.4333333333333333,0.3333333333333333,-0.09999999999999998,0.3333333333333333,0.3666666666666666,0.03333333333333327,-0.1,0.0333333333333333,0.1333333333333333
1008,E1_L0_C1,0.4,0.3,-0.10000000000000003,0.4333333333333333,0.4666666666666667,0.03333333333333338,0.0333333333333333,0.1666666666666666,0.1333333333333333
1008,E1_L1_C0,0.4333333333333333,0.3333333333333333,-0.09999999999999998,0.3333333333333333,0.3666666666666666,0.03333333333333327,-0.1,0.0333333333333333,0.1333333333333333
1008,E1_L1_C1,0.4,0.3,-0.10000000000000003,0.4333333333333333,0.4666666666666667,0.03333333333333338,0.0333333333333333,0.1666666666666666,0.1333333333333333
