seed,regime,placement_rate,ground_truth_fit,search_rounds,applications_per_hire,fill_rate,vacancy_duration,credential_sensitivity,investment_alignment,mean_step_gap_reduction,total_gap_reduction,evidence_conversion,task_acceptance,realized_gain,evidence_opportunity_gap,scenario
1000,R0,0.475,0.6022522867347131,1.8421052631578947,5.526315789473684,0.95,2.033333333333333,0.23102473314147176,0.07511737089201878,0.0009166679864082441,0.0032541713517492666,0.0,0.0,0.010815989451709786,0.0,no_discount
1000,R1,0.4583333333333333,0.6364637911286237,1.981818181818182,5.945454545454545,0.9166666666666666,2.433333333333333,0.23320065381209093,0.07432432432432433,0.0008497407990737731,0.0031440409565729605,0.0,0.0,0.010138375359161659,0.033333333333333326,no_discount
1001,R0,0.45,0.571113351926727,2.1296296296296298,6.388888888888889,0.9,2.5,0.289120943695996,0.08315098468271334,0.0009066784148734483,0.0034529336299763823,0.0,0.0,0.010564357911798924,0.19999999999999996,no_discount
1001,R1,0.425,0.593769692857697,2.0784313725490198,6.235294117647059,0.85,3.066666666666667,0.2809397203648168,0.08955223880597014,0.0008805558037701087,0.0034415055997348417,0.0,0.0,0.009902697984076177,0.3333333333333333,no_discount
1002,R0,0.45,0.5584957234727868,2.2037037037037037,6.611111111111111,0.9,2.466666666666667,0.21053662723593516,0.052060737527114966,0.0007799707830148121,0.0029963877580819033,0.0,0.0,0.010200646517216893,0.06666666666666671,no_discount
1002,R1,0.425,0.5758904286319724,2.411764705882353,7.235294117647059,0.85,3.1,0.22477287737799354,0.06790123456790123,0.0007160441309349716,0.002899978730286635,0.0,0.0,0.010608763035452459,0.16666666666666669,no_discount
1003,R0,0.48333333333333334,0.5518395619503941,1.9310344827586208,5.793103448275862,0.9666666666666667,2.0,0.28547025304266926,0.08450704225352113,0.0008611590086028813,0.0030571144805402284,0.0,0.0,0.010002420724449228,0.2,no_discount
1003,R1,0.375,0.6168549225533725,2.1777777777777776,6.533333333333333,0.75,3.6,0.29077880961998626,0.09940357852882704,0.0008833790089886162,0.003702830346010616,0.0,0.0,0.009797219447051987,0.39999999999999997,no_discount
1004,R0,0.4666666666666667,0.5775192320511492,1.9642857142857142,5.892857142857143,0.9333333333333333,2.3333333333333335,0.2984596811261708,0.0776255707762557,0.0009052365601190988,0.0033041134444347104,0.0,0.0,0.010544108372682399,0.1333333333333333,no_discount
1004,R1,0.4166666666666667,0.5918460188866167,2.36,7.08,0.8333333333333334,3.3333333333333335,0.3061689358692641,0.08811475409836066,0.0008825791283596177,0.0035891551219957786,0.0,0.0,0.010472723781546869,0.10000000000000003,no_discount
1005,R0,0.475,0.5405110817591696,1.8596491228070176,5.578947368421052,0.95,1.9,0.27725096811194067,0.07494145199063232,0.0007351147606561928,0.002615783356668286,0.0,0.0,0.00985629301407783,0.3333333333333333,no_discount
1005,R1,0.44166666666666665,0.5621846477348961,2.1320754716981134,6.39622641509434,0.8833333333333333,2.7333333333333334,0.2988081832442877,0.08225108225108226,0.0007712760735877267,0.002969412883312748,0.0,0.0,0.010393187277679898,0.49999999999999994,no_discount
1006,R0,0.44166666666666665,0.5510089021472787,1.8679245283018868,5.60377358490566,0.8833333333333333,2.6666666666666665,0.2815673802795613,0.09821428571428571,0.0009448193622893813,0.0035273256192136903,0.0,0.0,0.011223155151024686,0.23333333333333328,no_discount
1006,R1,0.44166666666666665,0.566444633317668,2.1320754716981134,6.39622641509434,0.8833333333333333,2.533333333333333,0.3032414845888758,0.07575757575757576,0.0007666658668736127,0.0029516635874634093,0.0,0.0,0.010408853393359603,0.26666666666666666,no_discount
1007,R0,0.45,0.5599650961975527,1.7962962962962963,5.388888888888889,0.9,2.3,0.2308490567223436,0.07289293849658314,0.0011023902237636718,0.004032910901935432,0.0,0.0,0.011819526202122127,0.2,no_discount
1007,R1,0.4166666666666667,0.5835936385872187,2.36,7.08,0.8333333333333334,3.2,0.24142271572075985,0.06352459016393443,0.0008309069449563348,0.003379021576155762,0.0,0.0,0.010595752850661489,0.3,no_discount
1008,R0,0.4583333333333333,0.5525245081479504,1.8727272727272728,5.618181818181818,0.9166666666666666,2.2333333333333334,0.2542530865115463,0.091324200913242,0.0009001139493225533,0.0032854159150273194,0.0,0.0,0.011061340289806577,-0.10000000000000003,no_discount
1008,R1,0.38333333333333336,0.6026939818954897,1.934782608695652,5.804347826086956,0.7666666666666667,3.1333333333333333,0.2655701221512832,0.09034907597535935,0.0008780456940524663,0.003563402108362925,0.0,0.0,0.010910806133427308,0.10000000000000003,no_discount
1009,R0,0.4583333333333333,0.5726196622515226,1.8909090909090909,5.672727272727273,0.9166666666666666,2.3666666666666667,0.26660285487734847,0.06605922551252848,0.0007896881543428693,0.0028889424979709967,0.0,0.0,0.010551956214683517,0.1333333333333333,no_discount
