scenario,seed,regime,placement_rate,ground_truth_fit,aggregate_fit_per_capacity
lower_hiring_threshold,1018,R0,0.49166666666666664,0.5410096299985138,0.5319928028318719
lower_hiring_threshold,1018,R1,0.44166666666666665,0.5814559467938997,0.5136194196679447
lower_hiring_threshold,1019,R0,0.48333333333333334,0.5760714463584276,0.5568690648131466
lower_hiring_threshold,1019,R1,0.4666666666666667,0.5925250634655035,0.5530233925678033
higher_hiring_threshold,1000,R0,0.4666666666666667,0.63249677475616,0.5903303231057493
higher_hiring_threshold,1000,R1,0.425,0.6566918643831288,0.5581880847256595
higher_hiring_threshold,1001,R0,0.4666666666666667,0.5843632216087956,0.5454056735015426
higher_hiring_threshold,1001,R1,0.35,0.642196606047999,0.4495376242335992
higher_hiring_threshold,1002,R0,0.425,0.5905404389330624,0.501959373093103
higher_hiring_threshold,1002,R1,0.39166666666666666,0.6225276833038483,0.4876466852546812
higher_hiring_threshold,1003,R0,0.4583333333333333,0.5727953769208309,0.525062428844095
higher_hiring_threshold,1003,R1,0.36666666666666664,0.6362804261486165,0.4666056458423187
higher_hiring_threshold,1004,R0,0.4583333333333333,0.5973476057765732,0.5475686386285255
higher_hiring_threshold,1004,R1,0.38333333333333336,0.6327964369506626,0.4851439349955079
higher_hiring_threshold,1005,R0,0.475,0.54769781821302,0.520312927302369
higher_hiring_threshold,1005,R1,0.43333333333333335,0.5857664580360779,0.5076642636312675
higher_hiring_threshold,1006,R0,0.43333333333333335,0.5838328399963072,0.505988461330133
higher_hiring_threshold,1006,R1,0.35,0.6136447122889095,0.4295512986022367
higher_hiring_threshold,1007,R0,0.4583333333333333,0.5721464859150007,0.5244676120887506
higher_hiring_threshold,1007,R1,0.4,0.6138179040428161,0.49105432323425297
higher_hiring_threshold,1008,R0,0.4666666666666667,0.556298364467344,0.5192118068361878
higher_hiring_threshold,1008,R1,0.4,0.5887369502582538,0.47098956020660304
higher_hiring_threshold,1009,R0,0.45,0.5932519351676964,0.5339267416509267
higher_hiring_threshold,1009,R1,0.425,0.6009382882276771,0.5107975449935256
higher_hiring_threshold,1010,R0,0.4666666666666667,0.5410163801898688,0.5049486215105443
higher_hiring_threshold,1010,R1,0.35833333333333334,0.5873878697160912,0.4209613066298654
higher_hiring_threshold,1011,R0,0.43333333333333335,0.5812193896718459,0.503723471048933
higher_hiring_threshold,1011,R1,0.39166666666666666,0.5979208779571241,0.4683713543997473
higher_hiring_threshold,1012,R0,0.475,0.590889253692968,0.5613447910083195
higher_hiring_threshold,1012,R1,0.4,0.6455551362928419,0.5164441090342734
higher_hiring_threshold,1013,R0,0.4583333333333333,0.5750979169104081,0.5271730905012074
higher_hiring_threshold,1013,R1,0.38333333333333336,0.6005844041496022,0.4604480431813618
higher_hiring_threshold,1014,R0,0.44166666666666665,0.5919991581364991,0.5229325896872408
higher_hiring_threshold,1014,R1,0.4166666666666667,0.619219407191361,0.5160161726594675
higher_hiring_threshold,1015,R0,0.4666666666666667,0.5780087364613371,0.5394748206972478
higher_hiring_threshold,1015,R1,0.39166666666666666,0.6091148342086558,0.47713995346344706
higher_hiring_threshold,1016,R0,0.4583333333333333,0.5796408003665882,0.5313374003360392
higher_hiring_threshold,1016,R1,0.425,0.5912073442591954,0.5025262426203161
higher_hiring_threshold,1017,R0,0.4583333333333333,0.6212354298736492,0.5694658107175117
higher_hiring_threshold,1017,R1,0.43333333333333335,0.650944602027876,0.5641519884241591
higher_hiring_threshold,1018,R0,0.45,0.5706040439394618,0.5135436395455156
higher_hiring_threshold,1018,R1,0.4,0.6009218025870513,0.480737442069641
higher_hiring_threshold,1019,R0,0.48333333333333334,0.5927802103791558,0.5730208700331839
higher_hiring_threshold,1019,R1,0.35833333333333334,0.6390238257905841,0.45796707514991863
